id,lat,lon,scientific_name,local_name,english_common_name,source,water_tower_id,notes_source
bio_0001,0.109570,37.209946,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5216371522, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0002,-0.021242,37.277611,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5217392541, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI indigenous species guide; GBM restoration manuals
bio_0003,-1.177265,36.935818,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 5109863168, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0004,-0.961931,35.732702,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4907973198, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mau_forest_complex,KEFRI indigenous species guide; GBM restoration manuals
bio_0005,-1.234614,36.819376,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4908330260, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI indigenous species guide; GBM restoration manuals
bio_0006,-0.941420,36.594178,Juniperus procera,Mũnunga; Mutarakwa,African pencil cedar,"GBIF occurrence 4054798593, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI indigenous species guide; GBM restoration manuals
bio_0007,-0.416597,36.666665,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 3455217765, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0008,-0.318545,37.191928,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2234736224, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0009,-0.304470,37.566210,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397825702, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0010,-0.563450,37.698710,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397826205, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0011,-0.274890,37.156560,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397828970, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0012,-0.344740,37.046420,Podocarpus latifolius,Podo; Mukungugu,East African yellowwood,"GBIF occurrence 2397829168, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,KFS forest reserve species list; KEFRI Podocarpus notes
bio_0013,0.314214,37.233792,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892507720, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0014,-1.739238,35.922833,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892502292, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",loita_hills,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0015,-1.374375,36.750228,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892498143, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0016,-1.375470,36.746059,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 5892739218, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0017,-0.943830,36.595528,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4046556827, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0018,-0.942861,36.595995,Olea europaea subsp. africana,Mutamaiyu; Muthithia,Wild olive,"GBIF occurrence 4062979533, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI Olea africana fact sheet; GBM indigenous list
bio_0019,-0.382000,37.156000,Prunus africana,Muiri,African cherry,"GBIF occurrence 5110068445, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",aberdare_range,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0020,-0.028000,34.417000,Prunus africana,Muiri,African cherry,"GBIF occurrence 5110451414, dataset 7a3679ef-5582-4aaa-81f0-8c2545cafc81",mt_elgon,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0021,-0.902755,36.449014,Prunus africana,Muiri,African cherry,"GBIF occurrence 4127361865, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0022,-0.174700,37.463300,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397825812, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0023,-0.174700,37.463300,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397825949, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0024,-0.531100,37.450600,Prunus africana,Muiri,African cherry,"GBIF occurrence 2397826238, dataset 718d628f-149a-4789-a062-05415f042c40",mt_kenya,KFS medicinal species list; KEFRI Prunus africana bulletin
bio_0025,-1.283785,36.816469,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242765092, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0026,-1.236040,36.842153,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242773317, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0027,-1.235972,36.842135,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242773326, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0028,-1.236697,36.841710,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242782593, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0029,-1.325577,36.702282,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2242792495, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0030,-0.451390,37.093330,Afrocarpus gracilior,Podo ya nyika,East African yellowwood (lowland),"GBIF occurrence 2397827832, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,Flora of Tropical East Africa; KFS species atlas
bio_0031,-0.454805,36.717003,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5076821229, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI montane species guide; UNEP montane forest study
bio_0032,-0.159528,37.448597,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5844613946, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI montane species guide; UNEP montane forest study
bio_0033,-0.168988,37.222724,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5007424694, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI montane species guide; UNEP montane forest study
bio_0034,-0.169317,37.218475,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5062928213, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,KEFRI montane species guide; UNEP montane forest study
bio_0035,-0.389881,36.574249,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 4978580759, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kipipiri,KEFRI montane species guide; UNEP montane forest study
bio_0036,-1.112018,36.692574,Hagenia abyssinica,Mũihugu,African redwood,"GBIF occurrence 5076816080, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",aberdare_range,KEFRI montane species guide; UNEP montane forest study
bio_0037,-0.820139,35.894239,Dombeya torrida,Mukuyu wa Kirima,Dombeya,"GBIF occurrence 4111585407, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mau_forest_complex,Flora of East Africa; Nature Kenya forest surveys
bio_0038,-0.698060,36.823280,Dombeya torrida,Mukuyu wa Kirima,Dombeya,"GBIF occurrence 2397827791, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,Flora of East Africa; Nature Kenya forest surveys
bio_0039,-0.675000,36.809500,Dombeya torrida,Mukuyu wa Kirima,Dombeya,"GBIF occurrence 2397828034, dataset 718d628f-149a-4789-a062-05415f042c40",aberdare_range,Flora of East Africa; Nature Kenya forest surveys
bio_0040,-0.173257,37.151448,Dombeya torrida,Mukuyu wa Kirima,Dombeya,"GBIF occurrence 2873932385, dataset 50c9509d-22c7-4a22-a47d-8c48425ef4a7",mt_kenya,Flora of East Africa; Nature Kenya forest surveys
